北京
月份		aqi		质量等级		pm2_5		pm10		范围		co		no2		so2 		o3
2013-12		100		轻度污染		73		97		23~291		1.73		56		37		38
2014-01		125		轻度污染		94		123		26~402		1.948		65		51		37
2014-02		184		中度污染		148		155		33~428		2.171		69		56		42
2014-03		130		轻度污染		94		138		35~319		1.39		62		34		83
2014-04		127		轻度污染		89		145		65~279		0.927		57		16		129
2014-05		107		轻度污染		61		118		46~205		0.839		47		15		149
2014-06		116		轻度污染		54		74		50~179		0.79		6		39		168
2014-07		140		轻度污染		89		100		39~252		0.939		6		39		170
2014-08		120		轻度污染		62		88		46~200		0.839		5		43		172
2014-09		99		良		65		88		43~200		0.983		6		49		106
2014-10		154		中度污染		118		148		28~381		1.339		9		70		54
2014-11		117		轻度污染		86		127		29~342		1.567		65		16		37
2014-12		86		良		58		95		21~267		1.552		53		28		42
2015-01		126		轻度污染		97		120		28~378		1.91		66		34		39
2015-02		127		轻度污染		93		114		36~334		1.457		51		26		60
2015-03		127		轻度污染		86		146		40~281		1.194		53		20		87
2015-04		107		轻度污染		71		118		38~212		0.76		9		43		124
2015-05		105		轻度污染		55		97		42~203		0.745		8		37		153
2015-06		111		轻度污染		60		70		35~231		1.303		6		35		156
2015-07		122		轻度污染		61		74		41~200		0.823		4		35		177
2015-08		104		轻度污染		45		66		37~202		0.79		31		3		159
2015-09		83		良		50		59		34~201		0.837		5		43		109
2015-10		106		轻度污染		74		86		27~344		0.955		6		55		74
2015-11		153		中度污染		119		85		37~450		1.983		62		12		25
2015-12		187		中度污染		152		172		23~485		2.865		76		20		26
2016-01		97		良		68		88		32~316		1.584		53		20		42
2016-02		71		良		44		59		34~238		0.903		35		15		68
2016-03		132		轻度污染		93		136		37~365		1.229		57		18		79
2016-04		106		轻度污染		69		118		43~209		0.803		44		10		116
2016-05		111		轻度污染		54		90		49~234		0.665		8		38		160
2016-06		126		轻度污染		59		70		50~189		0.767		5		35		183
2016-07		118		轻度污染		69		74		40~177		0.916		33		3		159
2016-08		94		良		47		60		34~179		0.832		35		3		135
2016-09		86		良		55		73		0~211		0.76		43		3		104
2016-10		116		轻度污染		85		101		29~292		1.155		56		4		47
2016-11		133		轻度污染		100		134		28~315		1.797		68		11		28
2016-12		168		中度污染		133		159		54~431		2.51		80		17		28
2017-01		146		轻度污染		116		131		34~470		2.203		65		18		41
2017-02		100		良		71		84		36~305		1.318		53		18		65
2017-03		94		良		63		84		40~273		0.913		50		11		86
2017-04		87		良		53		104		38~174		0.693		7		48		101
2017-05		134		轻度污染		48		104		53~500		0.674		7		37		161
2017-06		125		轻度污染		42		75		50~200		0.783		6		38		184
2017-07		118		轻度污染		52		71		38~208		0.894		34		3		174
2017-08		85		良		38		56		34~162		0.803		35		3		131
2017-09		98		良		58		100		36~189		0.913		49		4		123
2017-10		84		良		57		63		25~221		0.923		46		3		47
2017-11		75		良		46		73		30~201		0.903		5		49		44
2017-12		81		良		44		68		23~254		1.09		8		49		25
2018-01		64		良		34		65		28~176		0.768		7		39		48
2018-02		80		良		50		72		32~218		0.786		9		31		70
2018-03		115		轻度污染		82		104		0~283		1.003		9		53		81
2018-04		98		良		59		108		36~256		0.673		6		38		115
2018-05		91		良		45		85		0~169		0.648		4		36		134
2018-06		111		轻度污染		43		67		44~190		0.7		4		32		168
2018-07		89		良		44		48		28~156		0.787		3		24		135
2018-08		83		良		31		46		35~152		0.745		3		26		133
2018-09		60		良		28		45		30~132		0.543		34		3		93
2018-10		74		良		42		59		26~203		0.668		45		4		70
2018-11		108		轻度污染		71		104		39~270		1.07		7		60		37
2018-12		71		良		38		73		0~232		0.835		7		46		40
2019-01		81		良		51		80		30~267		0.997		9		50		44
2019-02		80		良		53		72		32~180		0.807		6		35		65
2019-03		85		良		52		80		39~233		0.635		5		39		86
2019-04		84		良		48		91		39~171		0.547		4		34		103
2019-05		93		良		37		78		47~195		0.503		4		34		143
2019-06		121		轻度污染		39		60		36~193		0.713		4		27		179
2019-07		108		轻度污染		37		50		33~173		0.661		3		27		159
2019-08		72		良		23		37		28~150		0.571		3		26		118
2019-09		97		良		36		58		33~178		0.67		33		3		151
2019-10		68		良		40		66		23~163		0.681		41		3		42
2019-11		76		良		44		78		30~183		0.797		5		48		32
2019-12		73		良		44		60		28~233		0.845		46		4		37
2020-01		86		良		59		65		30~221		0.955		6		40		53
2020-02		89		良		62		57		34~257		0.883		4		27		66
2020-03		63		良		35		53		36~153		0.484		4		25		84
2020-04		75		良		31		67		42~202		0.403		4		22		119
2020-05		85		良		36		62		36~204		0.603		4		23		124
2020-06		116		轻度污染		32		67		60~202		0.567		3		23		174
2020-07		99		良		41		47		48~152		0.671		3		21		150
2020-08		80		良		28		41		27~135		0.645		3		22		131
2020-09		56		良		24		35		22~158		0.537		3		26		96
2020-10		72		良		42		70		26~185		0.561		41		3		60
2020-11		66		良		37		62		26~140		0.653		42		3		41
2020-12		56		良		28		56		27~97		0.619		5		38		40
2021-01		72		良		33		55		30~176		0.69		4		31		49
2021-02		94		良		61		75		36~257		0.804		4		28		73
2021-03		149		轻度污染		64		66		34~500		0.703		35		3		71
2021-04		71		良		29		59		41~187		0.437		3		27		106
2021-05		84		良		18		49		38~253		0.419		3		21		122
2021-06		85		良		19		43		36~191		0.533		3		19		139
2021-07		71		良		16		32		29~125		0.574		2		14		121
2021-08		72		良		18		36		38~125		0.594		3		15		124
2021-09		57		良		18		36		25~108		0.63		3		21		99
2021-10		50		优		25		43		20~153		0.471		30		3		58
2021-11		75		良		44		65		29~193		0.643		36		3		42
2021-12		55		良		27		52		28~123		0.581		36		3		40
2022-01		68		良		45		52		29~198		0.742		34		3		45
