北京

月份	aqi	质量等级	pm2_5	pm10	范围	co	no2	so2	o3
2013-12	100	轻度污染	73μg/m³	98μg/m³	23~291	1.73mg/m³	56μg/m³	37μg/m³	38μg/m³
2014-01	125	轻度污染	94μg/m³	123μg/m³	26~402	1.948mg/m³	65μg/m³	51μg/m³	37μg/m³
2014-02	184	中度污染	148μg/m³	155μg/m³	33~428	2.171mg/m³	69μg/m³	56μg/m³	42μg/m³
2014-03	130	轻度污染	94μg/m³	138μg/m³	35~319	1.39mg/m³	62μg/m³	34μg/m³	83μg/m³
2014-04	127	轻度污染	89μg/m³	145μg/m³	65~279	0.927mg/m³	57μg/m³	16μg/m³	129μg/m³
2014-05	107	轻度污染	61μg/m³	118μg/m³	46~205	0.839mg/m³	47μg/m³	15μg/m³	149μg/m³
2014-06	116	轻度污染	54μg/m³	74μg/m³	50~179	0.79mg/m³	6μg/m³	39μg/m³	168μg/m³
2014-07	140	轻度污染	89μg/m³	100μg/m³	39~252	0.939mg/m³	6μg/m³	39μg/m³	170μg/m³
2014-08	120	轻度污染	62μg/m³	88μg/m³	46~200	0.839mg/m³	5μg/m³	43μg/m³	172μg/m³
2014-09	99	良	65μg/m³	88μg/m³	43~200	0.983mg/m³	6μg/m³	49μg/m³	106μg/m³
2014-10	154	中度污染	118μg/m³	148μg/m³	28~381	1.339mg/m³	9μg/m³	70μg/m³	54μg/m³
2014-11	117	轻度污染	86μg/m³	127μg/m³	29~342	1.567mg/m³	65μg/m³	16μg/m³	37μg/m³
2014-12	86	良	58μg/m³	95μg/m³	21~267	1.552mg/m³	53μg/m³	28μg/m³	42μg/m³
2015-01	126	轻度污染	97μg/m³	120μg/m³	28~378	1.91mg/m³	66μg/m³	34μg/m³	39μg/m³
2015-02	127	轻度污染	93μg/m³	114μg/m³	36~334	1.457mg/m³	51μg/m³	26μg/m³	60μg/m³
2015-03	127	轻度污染	86μg/m³	146μg/m³	40~281	1.194mg/m³	53μg/m³	20μg/m³	87μg/m³
2015-04	107	轻度污染	71μg/m³	118μg/m³	38~212	0.76mg/m³	9μg/m³	43μg/m³	124μg/m³
2015-05	105	轻度污染	55μg/m³	97μg/m³	42~203	0.745mg/m³	8μg/m³	37μg/m³	153μg/m³
2015-06	111	轻度污染	60μg/m³	70μg/m³	35~231	1.303mg/m³	6μg/m³	35μg/m³	156μg/m³
2015-07	122	轻度污染	61μg/m³	74μg/m³	41~200	0.823mg/m³	4μg/m³	35μg/m³	177μg/m³
2015-08	104	轻度污染	45μg/m³	66μg/m³	37~202	0.79mg/m³	31μg/m³	3μg/m³	159μg/m³
2015-09	83	良	50μg/m³	59μg/m³	34~201	0.837mg/m³	5μg/m³	43μg/m³	109μg/m³
2015-10	106	轻度污染	74μg/m³	86μg/m³	27~344	0.955mg/m³	6μg/m³	55μg/m³	74μg/m³
2015-11	153	中度污染	119μg/m³	85μg/m³	37~450	1.983mg/m³	62μg/m³	12μg/m³	25μg/m³
2015-12	187	中度污染	152μg/m³	172μg/m³	23~485	2.865mg/m³	76μg/m³	20μg/m³	26μg/m³
2016-01	97	良	68μg/m³	88μg/m³	32~316	1.584mg/m³	53μg/m³	20μg/m³	42μg/m³
2016-02	71	良	44μg/m³	59μg/m³	34~238	0.903mg/m³	35μg/m³	15μg/m³	68μg/m³
2016-03	132	轻度污染	93μg/m³	136μg/m³	37~365	1.229mg/m³	57μg/m³	18μg/m³	79μg/m³
2016-04	106	轻度污染	69μg/m³	118μg/m³	43~209	0.803mg/m³	44μg/m³	10μg/m³	116μg/m³
